Whale ID,Mother ID,Father ID
4160,2660,3190
4170,3270,1249
4180,,
4190,2790,1616
4191,3130,
4192,,
4193,3293,1028
4194,3240,
4201,1301,
4210,,
4212,1812,
4220,3220,1513
4290,3390,
4295,3995,
4304,1204,
4308,1408,
4310,3515,
4312,2912,1981
4313,2413,
4315,1315,2910
4320,2320,
4330,2330,2406
4332,1632,
4340,1140,
4342,2042,
4346,1946,2608
4350,,
4353,2753,1803
4360,,
4370,,
4394,3294,
4401,1301,
4423,2123,
4425,1425,
4440,2040,
4445,2645,
4446,2746,
4457,3157,
4501,1701,
4504,1604,
4505,2605,
4510,,
4511,1611,
4520,1620,
4523,2223,
4530,,
4539,3139,
4540,1612,
4545,2145,
4546,3646,
4550,1950,
4590,2790,
4593,3693,
4601,3101,
4605,3405,
4610,1810,
4612,1812,
4615,3115,
4617,3317,
4620,2520,
4633,1233,
4640,3440,
4650,3450,
4680,3180,
4681,1281,
4694,4094,
4710,,
4711,1711,
4712,1412,
4714,2614,
4715,1515,
4720,,
4730,1012,
4903,2503,
4991,2791,
