Whale ID,Mother ID,Father ID
1001,,
1002,,
1003,,
1004,,
1005,,
1006,1001,
1007,,
1010,,
1012,,
1013,,
1014,,
1017,,
1018,,
1019,,
1021,,
1025,,
1026,1025,
1027,,
1028,,
1032,,
1033,,
1034,,
1035,,
1036,,
1037,,
1038,,
1039,1316,
1041,,
1042,,
1043,,
1045,,
1046,,
1047,,
1048,,
1049,,
1050,,
1051,,
1052,,
1055,,
1056,,
1077,,
1102,,
1103,,
1111,,
1112,,
1113,,
1114,,
1117,,
1118,1007,
1120,,
1121,,
1122,,
1123,1142,1050
1124,,
1125,,
1126,,
1127,,
1128,1127,
1130,,
1131,,
1132,,
1133,,
1134,1157,
1135,,
1136,,
1138,1145,
1140,,
1142,,
1144,,
1145,,
1146,,
1147,,
1149,,
1150,,
1151,,
1152,,
1153,1014,
1154,,
1155,,
1156,,
1157,,
1158,,
1159,,
1160,,
1161,1160,
1162,,
1163,1135,1035
1166,,
1167,,
1168,,
1169,,
1170,1171,1279
1171,,
1173,,
1174,,
1175,,
1176,,
1177,,
1179,,
1201,,
1202,,
1203,,
1204,,
1206,,
1207,,
1208,,
1209,,
1217,,
1218,,
1219,,
1222,,
1223,,
1226,,
1227,,
1233,,
1238,,
1239,1175,
1240,,
1241,1240,
1242,,
1243,1242,1617
1245,1140,
1246,,
1247,1246,1332
1248,,
1249,1248,1278
1250,1222,
1254,,
1259,,
1264,,
1265,1264,
1266,,
1267,1266,1156
1268,,
1270,,
1271,,
1272,,
1276,,
1278,,
1279,,
1280,,
1281,,
1283,,
1284,,
1301,1001,1033
1302,1014,
1303,,
1304,,
1306,,
1307,,
1308,1012,
1310,,
1311,1310,
1312,,
1314,,
1315,1314,
1316,,
1317,1316,
1318,,
1319,1318,
1320,,
1321,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1331,,
1332,,
1333,,
1334,,
1401,,
1402,1157,1052
1403,1303,
1404,1127,
1405,1171,
1406,1135,
1407,,
1408,1118,1327
1409,1160,
1410,1145,
1411,1142,1056
1412,,
1415,,
1419,,
1421,,
1422,,
1423,,
1424,1501,
1425,,
1426,1407,
1427,1168,
1428,,
1429,1201,1035
1430,,
1501,,
1502,1264,
1503,1240,1144
1504,1318,
1505,1222,
1506,1248,
1507,1266,1333
1508,1201,
1509,,
1511,,
1512,,
1513,,
1514,,
1515,,
1516,,
1601,1281,1041
1602,1314,
1603,1001,1156
1604,,
1605,1012,
1606,1310,
1607,1254,
1608,1163,
1609,1007,
1610,1509,1033
1611,1034,
1612,,
1613,1612,1055
1616,,
1617,,
1619,,
1620,,
1621,,
1622,,
1623,,
1624,,
1625,,
1627,,
1628,,
1629,,
1630,,
1632,,
1701,1219,
1702,1118,
1703,1157,1516
1704,1140,
1705,1151,1147
1706,1135,1307
1707,1004,
1708,1284,
1709,1127,1155
1710,,
1711,1710,
1712,1619,
1713,,
1715,,
1716,,
1718,,
1719,,
1720,,
1801,1242,1819
1802,1014,
1803,1266,1156
1804,1160,
1805,,
1806,1515,
1807,1204,
1808,1713,
1810,,
1811,,
1812,,
1813,,
1814,,
1815,,
1816,,
1817,,
1818,,
1819,,
1820,,
1821,,
1901,1201,
1903,1303,
1907,1407,
1909,1509,1617
1911,1001,1279
1920,1334,1055
1930,,
1931,1301,1166
1933,1233,
1934,1034,
1940,,
1941,1241,1154
1946,1246,1037
1950,,
1954,1254,
1960,,
1968,1168,1271
1970,,
1971,1171,1147
1980,,
1981,1281,1166
1990,,
2004,1004,
2010,1310,
2014,1114,
2018,1118,
